"sku","fisier","sursa","titlu_magazin","verificare"
"2003274","","https://www.solarone.ro/image/cache/catalog/output_images/surub-cu-dublu-filet-k2-single-rail-1000x1000.webp","Surub cu dublu filet K2 Single Rail","cod magazin: 2003274"
"2004112","","https://www.solarone.ro/image/cache/catalog/output_images/surub-autoforant-k2-pentru-lemn-8-x-100-mm-pt-carlig-tigla-1000x1000.webp","Surub autoforant  K2 pentru lemn 8 x 100 mm (pt carlig tigla)","cod magazin: 2004112"
"1005193","","https://www.solarone.ro/image/cache/catalog/output_images/surub-autofiletant-k2-pentru-tabla-6x38-mm-1000x1000.webp","Surub autofiletant K2 pentru tabla 6x38 mm","cod magazin: 1005193"
"2003083","","https://www.solarone.ro/image/cache/catalog/output_images/suport-prindere-sina-k2-pentru-tabla-faltuita-single-rail-1000x1000.webp","Suport prindere sina K2 pentru tabla faltuita Single Rail","cod magazin: 2003083"
"2003274","2003274.webp","https://www.solarone.ro/image/cache/catalog/output_images/surub-cu-dublu-filet-k2-single-rail-1000x1000.webp","Surub cu dublu filet K2 Single Rail","cod magazin: 2003274"
"2004112","2004112.webp","https://www.solarone.ro/image/cache/catalog/output_images/surub-autoforant-k2-pentru-lemn-8-x-100-mm-pt-carlig-tigla-1000x1000.webp","Surub autoforant  K2 pentru lemn 8 x 100 mm (pt carlig tigla)","cod magazin: 2004112"
"1005193","1005193.webp","https://www.solarone.ro/image/cache/catalog/output_images/surub-autofiletant-k2-pentru-tabla-6x38-mm-1000x1000.webp","Surub autofiletant K2 pentru tabla 6x38 mm","cod magazin: 1005193"
"2003083","2003083.webp","https://www.solarone.ro/image/cache/catalog/output_images/suport-prindere-sina-k2-pentru-tabla-faltuita-single-rail-1000x1000.webp","Suport prindere sina K2 pentru tabla faltuita Single Rail","cod magazin: 2003083"
"SUN-STS500L","SUN-STS500L.webp","https://www.solarone.ro/image/cache/catalog/output_images/Modul-Deye-SUN-STS500-500-kW-pentru-comutare-on-grid-off-grid-generator-1000x1000.webp","Modul Deye SUN-STS500, 500 kW pentru comutare on-grid / off-grid / generator","cod magazin: SUN-STS500"
"SUN-3.6K-SG03LP1-EU","SUN-3.6K-SG03LP1-EU.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-monofazat-deye-sun-3-6k-sg05lp1-eu-3-6kw-1000x1000.webp","Invertor hibrid monofazat DEYE SUN-3.6K-SG05LP1-EU, 3.6kW","cod magazin: SUN-3.6K-SG03LP1-EU"
"PB-098","PB-098.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-pb-098-montare-acoperis-plat-1000x1000h.webp","Sistem de montaj panouri fotovoltaice PB-098, montare acoperis plat","cod magazin: XFS_PB098"
"PB-096","PB-096.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-pb-096-montare-acoperis-plat-1000x1000h.webp","Sistem de montaj panouri fotovoltaice PB-096, montare acoperis plat","cod magazin: XFS_PB096"
"PB-068.1","PB-068.1.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-pb-068-1-montare-acoperis-plat-x4-1000x1000.webp","Sistem de montaj panouri fotovoltaice PB-068.1, montare acoperis plat","cod magazin: XFS_PB068.1"
"PB-062.1","PB-062.1.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-pb-062-1-montare-acoperis-plat-1000x1000h.webp","Sistem de montaj panouri fotovoltaice PB-062.1, montare acoperis plat","cod magazin: XFS_PB062.1"
"PB-094","PB-094.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-click-in-pb-092-2-1-set-l2818-25dge-orizontal-x5-1000x1000.webp","Sistem de montaj panouri fotovoltaice click-in, PB-094 1 SET L2818 15DGE Orizontal","cod magazin: XFS_PB094"
"PB-092.2","PB-092.2.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-de-montaj-panouri-fotovoltaice-click-in-pb-092-2-1-set-l2818-25dge-orizontal-x5-1000x1000.webp","Sistem de montaj panouri fotovoltaice click-in, PB-092.2 1 SET L2818 25DGE Orizontal","cod magazin: XFS_PB092.2"
"2001976","2001976.webp","https://www.solarone.ro/image/cache/catalog/output_images/single-rail-conector-k2-sina-1000x1000.webp","Single Rail-Conector K2 Sina","cod magazin: 2001976"
"1004767","1004767.webp","https://www.solarone.ro/image/cache/catalog/output_images/single-rail-capac-k2-plastic-1000x1000.webp","Single Rail-Capac K2 plastic","cod magazin: 1004767"
"2004393","2004393.webp","https://www.solarone.ro/image/cache/catalog/output_images/single-rail-36-sina-montaj-k2-4800-mm-1000x1000.webp","Single Rail 36 - Sina montaj K2 4800 mm","cod magazin: 2004393"
"E-BOX-48100R","E-BOX-48100R.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-pytes-litiu-lifepo4-e-box-48100r-48v-5-12kwh-1000x1000h.webp","Acumulator Pytes Litiu LifePo4 E-BOX-48100R, 48V 5.12kWh","cod magazin: E-BOX-48100R"
"2004211","2004211.webp","https://www.solarone.ro/image/cache/catalog/output_images/mini-rail-sina-scurta-k2-385-mm-4-suruburi-1000x1000.webp","Mini Rail Sina scurta K2 385 mm + 4 suruburi","cod magazin: 2004211"
"FLB48314TG1-H","FLB48314TG1-H.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-felicity-flb48314tg1-16-kwh-lifepo4-cu-incalzire-1000x1000.webp","Acumulator Felicity FLB48314TG1-H, Cu incalzire, 16 KWH, LifePo4","cod magazin: FLB48314TG1-H"
"FLA48314-EU","FLA48314-EU.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-felicity-flb48314-eu-16-kwh-lifepo4-1000x1000.webp","Acumulator Felicity FLA48314-EU, 16 KWH, LifePo4","cod magazin: FLA48314-EU"
"SDM630","SDM630.webp","https://www.solarone.ro/image/cache/catalog/output_images/smart-meter-eastron-sdm630-modbus-mid-trifazat-1000x1000.webp","Smart Meter Eastron SDM630-MODBUS-MID, Trifazat","cod magazin: SDM630-MODBUS-MID"
"SDM230","SDM230.webp","https://www.solarone.ro/image/cache/catalog/output_images/smart-meter-eastron-sdm230-modbus-mid-v2-monofazat-1000x1000.webp","Smart Meter Eastron SDM230-Modbus-MID V2, Monofazat","cod magazin: SDM230-Modbus-MID V2"
"2001729","2001729.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-surub-cu-cap-hexagonal-k2-inox-m8-x-20-1000x1000.webp","Dome-Surub cu cap hexagonal K2 inox M8 x 20","cod magazin: 2001729"
"2002300","2002300.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-suport-rapid-k2-pentru-balast-1000x1000.webp","Dome-Suport rapid K2 pentru balast","cod magazin: 2002300"
"1001643","1001643.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-piulita-nut-m-k2-cu-clip-1000x1000.webp","Dome-Piulita Nut M K2 cu clip","cod magazin: 1001643"
