"sku","fisier","sursa","verificare"
"CS6.2-48TD-460","CS6.2-48TD-460.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-460w-canadian-solar-cs6-2-48td-460-n-type-topcon-1000x1000.webp","cod+cifra"
"CS6.2-54TM-505","CS6.2-54TM-505.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-505w-canadian-solar-cs6-1-60tb-505-n-type-bifacial-topcon-1000x1000.webp","cod+cifra"
"CS6.2-54TB-510","CS6.2-54TB-510.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-510w-canadian-solar-cs6-2-54tm-510-tophiku6-n-type-topcon-1000x1000.webp","cod+cifra"
"CS6W-585TB-AG","CS6W-585TB-AG.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-585w-canadian-solar-cs6w-585tb-ag-bifacial-n-type-topcon-1000x1000.webp","cod+cifra"
"CS6.2-66TB-615W","CS6.2-66TB-615W.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-620w-canadian-solar-cs6-2-66tb-620w-n-type-topcon-1-1000x1000.webp","cod+cifra"
"CS6.2-66TB-620W","CS6.2-66TB-620W.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-620w-canadian-solar-cs6-2-66tb-620w-n-type-topcon-1-1000x1000.webp","cod+cifra"
"CS7N-710TB-AG","CS7N-710TB-AG.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-705w-canadian-solar-cs7n-705tb-ag-n-type-topcon-bifacial-1000x1000.webp","cod+cifra"
"CS7N-715TB-AG","CS7N-715TB-AG.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-705w-canadian-solar-cs7n-705tb-ag-n-type-topcon-bifacial-1000x1000.webp","cod+cifra"
"AIKO-A455-MAH54Mw","AIKO-A455-MAH54Mw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-455w-aiko-neostar-2s-a455-mah54mw-2-1000x1000.webp","cod+cifra"
"AIKO-A-470-MAH54Dw","AIKO-A-470-MAH54Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-475w-aiko-neostar-2p-a-475-mah54mw-n-type-abc-black-frame-3-1000x1000.webp","cod+cifra"
"AIKO-A470-MCE54Mb","AIKO-A470-MCE54Mb.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-470w-aiko-neostar-3s54-aiko-a470-mce54mb-monocristalin-1000x1000.webp","cod+cifra"
"AIKO-A475-MAH54Dw","AIKO-A475-MAH54Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-475w-aiko-neostar-2p-a-475-mah54dw-n-type-abc-sticla-dubla-1000x1000.webp","cod+cifra"
"AIKO-A480-MAH54Mw","AIKO-A480-MAH54Mw.webp","https://www.solarone.ro/image/cache/catalog/output_images/Panou-fotovoltaic-480W-Aiko-Neostar-2P-AIKO-A480-MAH54Mw-monocristalin-1000x1000.webp","cod+cifra"
"AIKO-A545-MCE60Dw","AIKO-A545-MCE60Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-545w-aiko-neostar-60-aiko-a545-mce60dw-sticla-dubla-1000x1000.webp","cod+cifra"
"AIKO-A615-MAH72Mw","AIKO-A615-MAH72Mw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-610w-aiko-aiko-a610-mah72mw-comet-1n-monocristalin-1000x1000.webp","cod+cifra"
"AIKO-G650-MCH72Dw","AIKO-G650-MCH72Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/Panou-fotovoltaic-650W-AIKO-Polaris-1N-AIKO-G650-MCH72Dw-N-Type-Bifacial-1000x1000.webp","cod+cifra"
"AIKO-A650-GRH66Dw","AIKO-A650-GRH66Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-650w-aiko-stellar-2n-66-aiko-a650-grh66dw-sticla-dubla-bifacial-1000x1000.webp","cod+cifra"
"AIKO-A660-MDE72Dw","AIKO-A660-MDE72Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-665w-aiko-stellar-72-aiko-a665-mde72dw-sticla-dubla-1000x1000.webp","cod+cifra"
"AIKO-A665-MDE72Dw","AIKO-A665-MDE72Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-665w-aiko-stellar-72-aiko-a665-mde72dw-sticla-dubla-1000x1000.webp","cod+cifra"
"AIKO-A770-GRH78Dw","AIKO-A770-GRH78Dw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-770w-aiko-stellar-2n-78-aiko-a770-grh78dw-sticla-dubla-bifacial-1000x1000.webp","cod+cifra"
"JKM620N-66HL4M-BDV","JKM620N-66HL4M-BDV.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-620w-jinko-solar-jkm620n-66hl4m-bdv-30mm-tiger-neo-bifacial-n-type-1000x1000.webp","cod+cifra"
"UL-590M-144ADGN","UL-590M-144ADGN.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-590w-ulica-solar-ul-590m-144adgn-topcon-bifacial-double-glass-1000x1000.webp","cod+cifra"
"SUN-6K-SG05LP1-EU-AM2-P","SUN-6K-SG05LP1-EU-AM2-P.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-monofazat-deye-sun-6k-sg05lp1-eu-am2-p-6kw-1-1000x1000.webp","cod+cifra"
"SUN-16K-SG01LP1-EU-AM3-P","SUN-16K-SG01LP1-EU-AM3-P.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-monofazat-deye-sun-16k-sg01lp1-eu-am3-p-16kw-1000x1000.webp","cod+cifra"
"SUN-6K-SG05LP3-EU-SM2","SUN-6K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-6k-sg05lp3-eu-sm2-6kw-1000x1000.webp","cod+cifra"
"SUN-8K-SG05LP3-EU-SM2","SUN-8K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-8k-sg05lp3-eu-sm2-8kw-1000x1000.webp","cod+cifra"
"SUN-10K-SG05LP3-EU-SM2","SUN-10K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-10k-sg05lp3-eu-sm2-10kw-1-1000x1000.webp","cod+cifra"
"SUN-12K-SG05LP3-EU-SM2","SUN-12K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-10k-sg05lp3-eu-sm2-10kw-1-1000x1000.webp","cod+cifra"
"SUN-15K-SG05LP3-EU-SM2","SUN-15K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-15k-sg05lp3-eu-sm2-15kw-1000x1000.webp","cod+cifra"
"SUN-20K-SG05LP3-EU-SM2","SUN-20K-SG05LP3-EU-SM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-20k-sg05lp3-eu-sm2-20kw-1000x1000.webp","cod+cifra"
"SUN-15K-SG01HP3-EU-AM2","SUN-15K-SG01HP3-EU-AM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-15k-sg01hp3-eu-am2-15kw-1000x1000.webp","cod+cifra"
"SUN-20K-SG01HP3-EU-AM2","SUN-20K-SG01HP3-EU-AM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-20k-sg01hp3-eu-am2-20kw-1000x1000.webp","cod+cifra"
"SUN-25K-SG01HP3-EU-AM2","SUN-25K-SG01HP3-EU-AM2.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-25k-sg01hp3-eu-am2-25kw-1000x1000.webp","cod+cifra"
