"SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Tax status","In stock?","Regular price","Categories","Meta: _pret_volum","Meta: _prag_volum","Meta: _unitate_pret","Meta: _moneda","Meta: _pret_container","Meta: _capacitate_kwh","Meta: _sursa_catalog","Meta: _perioada_eticheta","Meta: _valabil_de","Meta: _valabil_pana","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
"CS6.2-48TD-460","Canadian Solar CS6.2-48TD-460, N-Type TOPCon","1","1","visible","","taxable","1","65","Panouri Fotovoltaice","64","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","460","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Monofacial","1","1","","","",""
"CS6.2-54TM-505","Canadian Solar CS6.2-54TM-505, N-type TOPCon","1","0","visible","","taxable","1","75","Panouri Fotovoltaice","73","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","505","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Monofacial","1","1","","","",""
"CS6.2-54TB-510","Canadian Solar CS6.2-54TB-510, N-type TOPCon BIFACIAL","1","0","visible","","taxable","1","76","Panouri Fotovoltaice","74","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","510","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"CS6W-585TB-AG","Canadian Solar CS6W-585TB-AG, N-type TOPCon BIFACIAL","1","0","visible","","taxable","1","85","Panouri Fotovoltaice","84","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","585","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"CS6.2-66TB-615W","Canadian Solar CS6.2-66TB-615W, N-type TOPCon BIFACIAL","1","0","visible","","taxable","1","82","Panouri Fotovoltaice","80","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","615","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"CS6.2-66TB-620W","Canadian Solar CS6.2-66TB-620W, N-type TOPCon BIFACIAL","1","0","visible","","taxable","1","87","Panouri Fotovoltaice","86","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","620","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"CS6.2-66TM-625W","Canadian Solar CS6.2-66TM-625W, N-type TOPCon","1","0","visible","","taxable","1","84","Panouri Fotovoltaice","82","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","625","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Monofacial","1","1","","","",""
"CS7N-710TB-AG","Canadian Solar CS7N-710TB-AG, N-TYPE TOPCon BIFACIAL","1","0","visible","","taxable","1","99","Panouri Fotovoltaice","98","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","710","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"CS7N-715TB-AG","Canadian Solar CS7N-715TB-AG, N-TYPE TOPCon BIFACIAL","1","0","visible","","taxable","1","103","Panouri Fotovoltaice","102","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Canadian Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","715","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"AIKO-A450-MAH54Mw","Aiko Solar Neostar 2P AIKO-A450-MAH54Mw","1","0","visible","","taxable","1","65","Panouri Fotovoltaice","64","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","450","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A455-MAH54Mw","Aiko Solar Neostar 2N AIKO-A455-MAH54Mw","1","0","visible","","taxable","1","65","Panouri Fotovoltaice","64","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","455","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A465-MAH54Mw","Aiko Solar Neostar 2P AIKO-A465-MAH54Mw","1","0","visible","","taxable","1","66","Panouri Fotovoltaice","64","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","465","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A-470-MAH54Dw","Aiko Solar Neostar 2P+ AIKO-A-470-MAH54Dw","1","0","visible","","taxable","1","70","Panouri Fotovoltaice","69","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","470","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A470-MCE54Mb","Aiko Solar Neostar 3S54 AIKO-A470-MCE54Mb","1","0","visible","","taxable","1","75","Panouri Fotovoltaice","74","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","470","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A475-MAH54Dw","Aiko Solar Neostar 2P+ AIKO-A475-MAH54Dw","1","0","visible","","taxable","1","71","Panouri Fotovoltaice","70","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","475","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A480-MAH54Mw","Aiko Solar Neostar 2P AIKO-A480-MAH54Mw","1","0","visible","","taxable","1","72","Panouri Fotovoltaice","71","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","480","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-A545-MCE60Dw","Aiko Solar Neostar 3P+60 AIKO-A545-MCE60Dw, BIFACIAL","1","0","visible","","taxable","1","81","Panouri Fotovoltaice","80","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","545","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
"AIKO-A615-MAH72Mw","Aiko Solar Comet 1N AIKO-A615-MAH72Mw","1","0","visible","","taxable","1","88","Panouri Fotovoltaice","87","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","615","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"AIKO-G650-MCH72Dw","Aiko Solar Polaris 1N+ AIKO-G650-MCH72Dw, BIFACIAL","1","0","visible","","taxable","1","93","Panouri Fotovoltaice","92","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","650","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
